Комната;Название модели;Тип товара;Цена (руб);Количество;Артикул;Ссылка
Спальня;Милена с ящиками;кровать;12 528;3;9895;https://www.ozon.ru/product/dvuspalnaya-krovat-milena-s-yashchikami-180h200-sm-315271398/?asb=b2XozW4bDRBhJIDtun1TdMcroBD%252FIITAqhqKWmXkc9k%253D&asb2=mVcaWhXXsat-Pe2DT8xGF5BazfyIKVkdUqaspzJFXhqthj6MQtcybSaSsz_O8zdC&keywords=кровать&sh=kpiJKxb_
Спальня;Камелия 900;кровать;5 547;5;1022162;https://www.ozon.ru/product/odnospalnaya-krovat-kameliya-900-90h200-sm-cbk-306119183/?asb=Ra1gxJJiXseS3xpC%252B1Aj0YH6JeCwY5X0QKA0kZfbbnA%253D&asb2=NZWAlwNCmX460HDsO23rmYyoFNAYVRHWctopwUs6MSE&keywords=кровать&sh=hDG36kD8
Спальня;Гармония с ящиками;кровать;7 427;4;483059;https://www.ozon.ru/product/odnospalnaya-krovat-garmoniya-s-yashchikami-90h200-sm-stendmebel-260518841/?asb=YVhcOw1FkGV84Bh%252Bvm3x%252FkIV8Vx%252BVM%252BB37oBlHbfx0NsJ4pRzgaJ%252BwWrrrv8MnsR&asb2=4faVnkAbDhf8Z-tt2WT4kdz7IxR0XxMtWuqOh4Nn050sgM1khtL6SZ3EIdZk4BSn7Me5i6s4B9aWYD02ri0BFPjxKVkV3QjdqMrSX9NM4gA&keywords=кровать&sh=YmwAVMne
Спальня;Стандарт 80*200;кровать;9 318;2;31;https://www.ozon.ru/product/dvuhyarusnaya-krovat-noviron-standart-80-200-205h85h180-sm-220357378/?asb=7RgaaQQ7OWrDvb3afhD7CHmB%252BrB%252FXbKY1MxIWGIr5zbhgrpETIJtwk7zVrX1kUk0&asb2=1R-R4ElOBnmswIVIg-jHaQBaCvM-BvELikvqYevNxh_uBsRU8HKEGrSl2sGyV1ofRCoVlwrC_7wWkoghq6ksyINJ2AmHGcLGZ24iN3VEiFk&keywords=кровать&sh=EjerFEPq
Спальня;Кровать 90 Фантазия-1-М;кровать;8 960;1;13408;https://www.ozon.ru/product/odnospalnaya-krovat-krovat-90-fantaziya-1-m-90h200-sm-gayvamebel-272131332/?asb=goEDK9%252B%252BbLX8B4kZl7mOexZNwfE9nllQz1DQy%252F2jFoA%253D&asb2=k2_XhpXRcZpsZdd2BZ6yA4WrFO4ZLWaQm6OvnP-HvhU&keywords=кровать&sh=KRWLFeJ0
Гостиная;Рокс 12.76 Н;стол;2 830;3;36607;https://www.ozon.ru/product/pismennyy-stol-mobi-roks-12-76-n-109h60h74-9-sm-227799497/?asb=Oz7RYnWVk%252Bm98SkO3XavbAZu969IETvtSi9bpRpA3tY%253D&asb2=jsHgPq8hXw4E68HSQwZqB-Nw_1JC6Sht6owX6Z8wMT8&keywords=стол&sh=FrhJmCv-
Гостиная;Винтер 12.80;стол;3 090;2;42623;https://www.ozon.ru/product/kompyuternyy-stol-mobi-vinter-12-80-90h45h75-3-sm-262436245/?asb=UGDrziAyqo%252BkE74Sr0ws7MgJRVegsZx7ADSo%252BVqJDIE%253D&asb2=1tKnNIpJ1oG_AHCEC4gL_4vi8z_nCzooGgY_k-FgS_Q&keywords=стол&sh=7YxJhym8
Гостиная;Vivo стол Белый 75x40;стол;1 386;4;50527;https://www.ozon.ru/product/pismennyy-stol-vivo-trade-vivo-stol-belyy-75x40-75h40-5h75-sm-307154730/?asb=lTUkHfH0TD5JA8VmMeDitOVoSMYnJkS%252BInQiIzN9xow%253D&asb2=lr5n5E1g1UGncqHKSIB-OIOD4NjHS5aJiLkr5dRTSyU&keywords=стол&sh=xcGelC1i
Гостиная;Тимбер;стол;3 865;5;21789;https://www.ozon.ru/product/pismennyy-stol-fort-timber-100h60h75-sm-218322314/?asb=260m1rQ7ekhC3Ca6qNKDOYjFCJC1b3z9H75c9JwZsN0%253D&asb2=qvjBE3ThNO-_BArSG--WqPOfGUZTVjg1FkwRMyo3nlA&keywords=стол&sh=mFIILqV-
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
